Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
I	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
couldn't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
help	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
but	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
overhear	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
you	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
talking	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
to	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
yourself	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
How	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
she	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
slipped	|	0.903090	|	0.000000	|	0.000000	|	0.602060	|	
right	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
through	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
your	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hands	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
And	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
in	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
between	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
all	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
of	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
the	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
four	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
letter	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
words	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
You	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
said	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
never	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
gonna	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
understand	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
gave	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
her	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
everything	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
thought	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
